Exam_code,Content,Option_A,Option_B,Option_C,Option_D,Correct_Option
1010,This is the content for question 1.,Option A for question 1,Option B for question 1,Option C for question 1,Option D for question 1,C
1010,This is the content for question 2.,Option A for question 2,Option B for question 2,Option C for question 2,Option D for question 2,A
1010,This is the content for question 3.,Option A for question 3,Option B for question 3,Option C for question 3,Option D for question 3,B
1010,This is the content for question 4.,Option A for question 4,Option B for question 4,Option C for question 4,Option D for question 4,B
1010,This is the content for question 5.,Option A for question 5,Option B for question 5,Option C for question 5,Option D for question 5,A
1010,This is the content for question 6.,Option A for question 6,Option B for question 6,Option C for question 6,Option D for question 6,D
1010,This is the content for question 7.,Option A for question 7,Option B for question 7,Option C for question 7,Option D for question 7,A
1010,This is the content for question 8.,Option A for question 8,Option B for question 8,Option C for question 8,Option D for question 8,A
1010,This is the content for question 9.,Option A for question 9,Option B for question 9,Option C for question 9,Option D for question 9,D
1010,This is the content for question 10.,Option A for question 10,Option B for question 10,Option C for question 10,Option D for question 10,A
1010,This is the content for question 11.,Option A for question 11,Option B for question 11,Option C for question 11,Option D for question 11,A
1010,This is the content for question 12.,Option A for question 12,Option B for question 12,Option C for question 12,Option D for question 12,D
1010,This is the content for question 13.,Option A for question 13,Option B for question 13,Option C for question 13,Option D for question 13,D
1010,This is the content for question 14.,Option A for question 14,Option B for question 14,Option C for question 14,Option D for question 14,C
1010,This is the content for question 15.,Option A for question 15,Option B for question 15,Option C for question 15,Option D for question 15,C
1010,This is the content for question 16.,Option A for question 16,Option B for question 16,Option C for question 16,Option D for question 16,A
1010,This is the content for question 17.,Option A for question 17,Option B for question 17,Option C for question 17,Option D for question 17,C
1010,This is the content for question 18.,Option A for question 18,Option B for question 18,Option C for question 18,Option D for question 18,D
1010,This is the content for question 19.,Option A for question 19,Option B for question 19,Option C for question 19,Option D for question 19,C
1010,This is the content for question 20.,Option A for question 20,Option B for question 20,Option C for question 20,Option D for question 20,C
1010,This is the content for question 21.,Option A for question 21,Option B for question 21,Option C for question 21,Option D for question 21,C
1010,This is the content for question 22.,Option A for question 22,Option B for question 22,Option C for question 22,Option D for question 22,A
1010,This is the content for question 23.,Option A for question 23,Option B for question 23,Option C for question 23,Option D for question 23,D
1010,This is the content for question 24.,Option A for question 24,Option B for question 24,Option C for question 24,Option D for question 24,D
1010,This is the content for question 25.,Option A for question 25,Option B for question 25,Option C for question 25,Option D for question 25,D
1010,This is the content for question 26.,Option A for question 26,Option B for question 26,Option C for question 26,Option D for question 26,D
1010,This is the content for question 27.,Option A for question 27,Option B for question 27,Option C for question 27,Option D for question 27,C
1010,This is the content for question 28.,Option A for question 28,Option B for question 28,Option C for question 28,Option D for question 28,B
1010,This is the content for question 29.,Option A for question 29,Option B for question 29,Option C for question 29,Option D for question 29,A
1010,This is the content for question 30.,Option A for question 30,Option B for question 30,Option C for question 30,Option D for question 30,C
1010,This is the content for question 31.,Option A for question 31,Option B for question 31,Option C for question 31,Option D for question 31,A
1010,This is the content for question 32.,Option A for question 32,Option B for question 32,Option C for question 32,Option D for question 32,C
1010,This is the content for question 33.,Option A for question 33,Option B for question 33,Option C for question 33,Option D for question 33,B
1010,This is the content for question 34.,Option A for question 34,Option B for question 34,Option C for question 34,Option D for question 34,D
1010,This is the content for question 35.,Option A for question 35,Option B for question 35,Option C for question 35,Option D for question 35,D
1010,This is the content for question 36.,Option A for question 36,Option B for question 36,Option C for question 36,Option D for question 36,C
1010,This is the content for question 37.,Option A for question 37,Option B for question 37,Option C for question 37,Option D for question 37,B
1010,This is the content for question 38.,Option A for question 38,Option B for question 38,Option C for question 38,Option D for question 38,D
1010,This is the content for question 39.,Option A for question 39,Option B for question 39,Option C for question 39,Option D for question 39,C
1010,This is the content for question 40.,Option A for question 40,Option B for question 40,Option C for question 40,Option D for question 40,C
1010,This is the content for question 41.,Option A for question 41,Option B for question 41,Option C for question 41,Option D for question 41,B
1010,This is the content for question 42.,Option A for question 42,Option B for question 42,Option C for question 42,Option D for question 42,B
1010,This is the content for question 43.,Option A for question 43,Option B for question 43,Option C for question 43,Option D for question 43,B
1010,This is the content for question 44.,Option A for question 44,Option B for question 44,Option C for question 44,Option D for question 44,B
1010,This is the content for question 45.,Option A for question 45,Option B for question 45,Option C for question 45,Option D for question 45,B
1010,This is the content for question 46.,Option A for question 46,Option B for question 46,Option C for question 46,Option D for question 46,D
1010,This is the content for question 47.,Option A for question 47,Option B for question 47,Option C for question 47,Option D for question 47,B
1010,This is the content for question 48.,Option A for question 48,Option B for question 48,Option C for question 48,Option D for question 48,C
1010,This is the content for question 49.,Option A for question 49,Option B for question 49,Option C for question 49,Option D for question 49,B
1010,This is the content for question 50.,Option A for question 50,Option B for question 50,Option C for question 50,Option D for question 50,A
1010,This is the content for question 51.,Option A for question 51,Option B for question 51,Option C for question 51,Option D for question 51,B
